Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;323;12
ANGOULEME;PARIS MONTPARNASSE;343;50
PARIS MONTPARNASSE;BORDEAUX ST JEAN;676;25
BORDEAUX ST JEAN;PARIS MONTPARNASSE;647;48
PARIS MONTPARNASSE;BREST;208;0
BREST;PARIS MONTPARNASSE;177;3
PARIS MONTPARNASSE;LA ROCHELLE VILLE;227;10
LA ROCHELLE VILLE;PARIS MONTPARNASSE;231;17
PARIS MONTPARNASSE;LE MANS;443;25
LE MANS;PARIS MONTPARNASSE;468;38
PARIS MONTPARNASSE;NANTES;528;29
NANTES;PARIS MONTPARNASSE;558;36
PARIS MONTPARNASSE;POITIERS;452;12
POITIERS;PARIS MONTPARNASSE;515;56
PARIS MONTPARNASSE;QUIMPER;190;12
QUIMPER;PARIS MONTPARNASSE;143;7
PARIS MONTPARNASSE;RENNES;560;21
RENNES;PARIS MONTPARNASSE;571;26
PARIS MONTPARNASSE;TOULOUSE MATABIAU;150;9
TOULOUSE MATABIAU;PARIS MONTPARNASSE;89;8
PARIS MONTPARNASSE;TOURS;190;9
TOURS;PARIS MONTPARNASSE;185;13
PARIS MONTPARNASSE;ST PIERRE DES CORPS;460;18
ST PIERRE DES CORPS;PARIS MONTPARNASSE;445;50
PARIS MONTPARNASSE;ANGERS SAINT LAUD;396;21
ANGERS SAINT LAUD;PARIS MONTPARNASSE;445;33
PARIS MONTPARNASSE;VANNES;213;9
VANNES;PARIS MONTPARNASSE;170;8
PARIS MONTPARNASSE;LAVAL;234;11
LAVAL;PARIS MONTPARNASSE;229;10
PARIS MONTPARNASSE;ST MALO;63;0
ST MALO;PARIS MONTPARNASSE;94;4
LYON PART DIEU;RENNES;31;2
RENNES;LYON PART DIEU;84;4
METZ;PARIS EST;301;28
PARIS EST;METZ;312;24
PARIS EST;NANCY;298;13
NANCY;PARIS EST;289;10
PARIS EST;REIMS;224;17
REIMS;PARIS EST;219;21
PARIS EST;STRASBOURG;485;28
STRASBOURG;PARIS EST;479;39
NANTES;STRASBOURG;51;4
STRASBOURG;NANTES;52;5
PARIS NORD;ARRAS;359;33
ARRAS;PARIS NORD;334;42
PARIS NORD;DUNKERQUE;170;16
DUNKERQUE;PARIS NORD;120;8
PARIS NORD;LILLE;572;53
LILLE;PARIS NORD;593;54
LILLE;LYON PART DIEU;309;42
LYON PART DIEU;LILLE;274;56
LILLE;MARSEILLE ST CHARLES;158;42
MARSEILLE ST CHARLES;LILLE;128;39
PARIS NORD;DOUAI;182;13
DOUAI;PARIS NORD;185;20
PARIS-LYON;AVIGNON TGV;422;25
AVIGNON TGV;PARIS-LYON;421;57
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;255;17
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;187;10
PARIS-LYON;CHAMBERY CHALLES LES EAUX;221;25
CHAMBERY CHALLES LES EAUX;PARIS-LYON;216;15
PARIS-LYON;DIJON VILLE;455;24
DIJON VILLE;PARIS-LYON;431;30
PARIS-LYON;GRENOBLE;196;15
GRENOBLE;PARIS-LYON;200;17
PARIS-LYON;LYON PART DIEU;531;26
LYON PART DIEU;PARIS-LYON;539;11
PARIS-LYON;MARSEILLE ST CHARLES;520;26
MARSEILLE ST CHARLES;PARIS-LYON;505;32
PARIS-LYON;MONTPELLIER;398;25
MONTPELLIER;PARIS-LYON;400;40
PARIS-LYON;NICE VILLE;230;39
NICE VILLE;PARIS-LYON;239;51
PARIS-LYON;NIMES;398;39
NIMES;PARIS-LYON;399;52
PARIS-LYON;PERPIGNAN;163;16
PERPIGNAN;PARIS-LYON;166;21
PARIS-LYON;TOULON;254;29
TOULON;PARIS-LYON;299;46
PARIS-LYON;VALENCE-ALIXAN TGV;280;31
VALENCE-ALIXAN TGV;PARIS-LYON;248;43
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;118;11
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;119;3
PARIS-LYON;BELLEGARDE (AIN );262;22
BELLEGARDE (AIN );PARIS-LYON;256;18
PARIS-LYON;AIX EN PROVENCE TGV;439;46
AIX EN PROVENCE TGV;PARIS-LYON;438;70
PARIS-LYON;ANNECY;207;7
ANNECY;PARIS-LYON;205;7
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;208;69
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;218;26
PARIS-LYON;MACON LOCHE;184;15
MACON LOCHE;PARIS-LYON;178;9
LYON PART DIEU;MARSEILLE ST CHARLES;621;130
MARSEILLE ST CHARLES;LYON PART DIEU;599;105
LYON PART DIEU;MONTPELLIER;376;66
MONTPELLIER;LYON PART DIEU;367;53
PARIS-LYON;MULHOUSE VILLE;302;22
MULHOUSE VILLE;PARIS-LYON;279;8
PARIS-LYON;GENEVE;243;
GENEVE;PARIS-LYON;241;8
PARIS-LYON;ZURICH;182;
ZURICH;PARIS-LYON;182;3
PARIS-LYON;LAUSANNE;128;
LAUSANNE;PARIS-LYON;133;10
PARIS NORD;BELGIQUE-PAYS-BAS;701;
BELGIQUE-PAYS-BAS;PARIS NORD;594;77
PARIS EST;FRANCFORT;144;
FRANCFORT;PARIS EST;146;47
PARIS EST;STUTTGART;121;
STUTTGART;PARIS EST;119;14
PARIS-LYON;ITALIE;93;
ITALIE;PARIS-LYON;92;8
