Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;322;24
ANGOULEME;PARIS MONTPARNASSE;350;57
PARIS MONTPARNASSE;BORDEAUX ST JEAN;609;51
BORDEAUX ST JEAN;PARIS MONTPARNASSE;626;58
PARIS MONTPARNASSE;BREST;175;7
BREST;PARIS MONTPARNASSE;162;8
PARIS MONTPARNASSE;LA ROCHELLE VILLE;218;24
LA ROCHELLE VILLE;PARIS MONTPARNASSE;218;23
PARIS MONTPARNASSE;LE MANS;442;38
LE MANS;PARIS MONTPARNASSE;469;63
PARIS MONTPARNASSE;NANTES;556;27
NANTES;PARIS MONTPARNASSE;569;29
PARIS MONTPARNASSE;POITIERS;445;26
POITIERS;PARIS MONTPARNASSE;492;66
PARIS MONTPARNASSE;QUIMPER;160;14
QUIMPER;PARIS MONTPARNASSE;144;9
PARIS MONTPARNASSE;RENNES;550;27
RENNES;PARIS MONTPARNASSE;561;31
PARIS MONTPARNASSE;TOULOUSE MATABIAU;134;19
TOULOUSE MATABIAU;PARIS MONTPARNASSE;105;14
PARIS MONTPARNASSE;TOURS;200;29
TOURS;PARIS MONTPARNASSE;204;15
PARIS MONTPARNASSE;ST PIERRE DES CORPS;459;41
ST PIERRE DES CORPS;PARIS MONTPARNASSE;459;60
PARIS MONTPARNASSE;ANGERS SAINT LAUD;429;19
ANGERS SAINT LAUD;PARIS MONTPARNASSE;466;26
PARIS MONTPARNASSE;VANNES;182;12
VANNES;PARIS MONTPARNASSE;170;9
PARIS MONTPARNASSE;LAVAL;233;13
LAVAL;PARIS MONTPARNASSE;237;13
PARIS MONTPARNASSE;ST MALO;56;3
ST MALO;PARIS MONTPARNASSE;98;4
LYON PART DIEU;RENNES;30;1
RENNES;LYON PART DIEU;81;6
METZ;PARIS EST;290;38
PARIS EST;METZ;300;21
PARIS EST;NANCY;286;12
NANCY;PARIS EST;290;14
PARIS EST;REIMS;243;19
REIMS;PARIS EST;230;25
PARIS EST;STRASBOURG;465;23
STRASBOURG;PARIS EST;463;44
NANTES;STRASBOURG;60;4
STRASBOURG;NANTES;60;4
PARIS NORD;ARRAS;369;44
ARRAS;PARIS NORD;338;35
PARIS NORD;DUNKERQUE;158;8
DUNKERQUE;PARIS NORD;111;5
PARIS NORD;LILLE;616;69
LILLE;PARIS NORD;605;55
LILLE;LYON PART DIEU;300;37
LYON PART DIEU;LILLE;274;76
LILLE;MARSEILLE ST CHARLES;151;32
MARSEILLE ST CHARLES;LILLE;127;37
PARIS NORD;DOUAI;205;32
DOUAI;PARIS NORD;201;21
PARIS-LYON;AVIGNON TGV;354;26
AVIGNON TGV;PARIS-LYON;362;60
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;225;17
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;199;13
PARIS-LYON;CHAMBERY CHALLES LES EAUX;201;19
CHAMBERY CHALLES LES EAUX;PARIS-LYON;189;25
PARIS-LYON;DIJON VILLE;427;20
DIJON VILLE;PARIS-LYON;427;35
PARIS-LYON;GRENOBLE;245;23
GRENOBLE;PARIS-LYON;238;24
PARIS-LYON;LYON PART DIEU;617;24
LYON PART DIEU;PARIS-LYON;621;40
PARIS-LYON;MARSEILLE ST CHARLES;507;24
MARSEILLE ST CHARLES;PARIS-LYON;501;42
PARIS-LYON;MONTPELLIER;373;29
MONTPELLIER;PARIS-LYON;384;38
PARIS-LYON;NICE VILLE;189;42
NICE VILLE;PARIS-LYON;187;59
PARIS-LYON;NIMES;372;36
NIMES;PARIS-LYON;385;48
PARIS-LYON;PERPIGNAN;150;13
PERPIGNAN;PARIS-LYON;149;16
PARIS-LYON;TOULON;209;22
TOULON;PARIS-LYON;265;57
PARIS-LYON;VALENCE-ALIXAN TGV;262;19
VALENCE-ALIXAN TGV;PARIS-LYON;235;28
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;116;7
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;116;13
PARIS-LYON;BELLEGARDE (AIN );261;33
BELLEGARDE (AIN );PARIS-LYON;253;20
PARIS-LYON;AIX EN PROVENCE TGV;417;48
AIX EN PROVENCE TGV;PARIS-LYON;430;81
PARIS-LYON;ANNECY;201;10
ANNECY;PARIS-LYON;194;17
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;200;22
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;210;29
PARIS-LYON;MACON LOCHE;178;15
MACON LOCHE;PARIS-LYON;170;15
LYON PART DIEU;MARSEILLE ST CHARLES;598;120
MARSEILLE ST CHARLES;LYON PART DIEU;574;94
LYON PART DIEU;MONTPELLIER;364;58
MONTPELLIER;LYON PART DIEU;359;56
PARIS-LYON;MULHOUSE VILLE;172;15
MULHOUSE VILLE;PARIS-LYON;277;25
PARIS-LYON;GENEVE;251;
GENEVE;PARIS-LYON;251;14
PARIS-LYON;ZURICH;170;
ZURICH;PARIS-LYON;163;11
PARIS-LYON;LAUSANNE;118;
LAUSANNE;PARIS-LYON;117;7
PARIS NORD;BELGIQUE-PAYS-BAS;738;
BELGIQUE-PAYS-BAS;PARIS NORD;657;104
PARIS EST;FRANCFORT;139;
FRANCFORT;PARIS EST;141;30
PARIS EST;STUTTGART;115;
STUTTGART;PARIS EST;115;17
PARIS-LYON;ITALIE;80;
ITALIE;PARIS-LYON;82;7
