Départ;Arrivée;Nombre de circulations;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;312;19
ANGOULEME;PARIS MONTPARNASSE;346;61
PARIS MONTPARNASSE;BORDEAUX ST JEAN;606;50
BORDEAUX ST JEAN;PARIS MONTPARNASSE;624;74
PARIS MONTPARNASSE;BREST;177;13
BREST;PARIS MONTPARNASSE;167;11
PARIS MONTPARNASSE;LA ROCHELLE VILLE;210;37
LA ROCHELLE VILLE;PARIS MONTPARNASSE;208;27
PARIS MONTPARNASSE;LE MANS;450;52
LE MANS;PARIS MONTPARNASSE;469;65
PARIS MONTPARNASSE;NANTES;554;22
NANTES;PARIS MONTPARNASSE;579;18
PARIS MONTPARNASSE;POITIERS;455;32
POITIERS;PARIS MONTPARNASSE;496;74
PARIS MONTPARNASSE;QUIMPER;156;19
QUIMPER;PARIS MONTPARNASSE;145;10
PARIS MONTPARNASSE;RENNES;563;54
RENNES;PARIS MONTPARNASSE;571;42
PARIS MONTPARNASSE;TOULOUSE MATABIAU;143;14
TOULOUSE MATABIAU;PARIS MONTPARNASSE;112;13
PARIS MONTPARNASSE;TOURS;193;19
TOURS;PARIS MONTPARNASSE;205;30
PARIS MONTPARNASSE;ST PIERRE DES CORPS;455;42
ST PIERRE DES CORPS;PARIS MONTPARNASSE;466;78
PARIS MONTPARNASSE;ANGERS SAINT LAUD;437;22
ANGERS SAINT LAUD;PARIS MONTPARNASSE;476;30
PARIS MONTPARNASSE;VANNES;183;21
VANNES;PARIS MONTPARNASSE;175;13
PARIS MONTPARNASSE;LAVAL;244;19
LAVAL;PARIS MONTPARNASSE;245;21
PARIS MONTPARNASSE;ST MALO;55;9
ST MALO;PARIS MONTPARNASSE;103;4
LYON PART DIEU;RENNES;31;1
RENNES;LYON PART DIEU;81;9
METZ;PARIS EST;300;21
PARIS EST;METZ;316;12
PARIS EST;NANCY;293;11
NANCY;PARIS EST;298;13
PARIS EST;REIMS;252;14
REIMS;PARIS EST;234;10
PARIS EST;STRASBOURG;479;50
STRASBOURG;PARIS EST;471;73
NANTES;STRASBOURG;61;9
STRASBOURG;NANTES;61;7
PARIS NORD;ARRAS;370;42
ARRAS;PARIS NORD;338;32
PARIS NORD;DUNKERQUE;155;9
DUNKERQUE;PARIS NORD;112;5
PARIS NORD;LILLE;619;64
LILLE;PARIS NORD;602;51
LILLE;LYON PART DIEU;309;39
LYON PART DIEU;LILLE;284;57
LILLE;MARSEILLE ST CHARLES;162;32
MARSEILLE ST CHARLES;LILLE;136;34
PARIS NORD;DOUAI;210;23
DOUAI;PARIS NORD;207;21
PARIS-LYON;AVIGNON TGV;377;32
AVIGNON TGV;PARIS-LYON;386;64
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;236;22
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;212;18
PARIS-LYON;CHAMBERY CHALLES LES EAUX;215;29
CHAMBERY CHALLES LES EAUX;PARIS-LYON;199;24
PARIS-LYON;DIJON VILLE;444;33
DIJON VILLE;PARIS-LYON;439;52
PARIS-LYON;GRENOBLE;241;21
GRENOBLE;PARIS-LYON;233;14
PARIS-LYON;LYON PART DIEU;623;35
LYON PART DIEU;PARIS-LYON;628;44
PARIS-LYON;MARSEILLE ST CHARLES;509;36
MARSEILLE ST CHARLES;PARIS-LYON;510;48
PARIS-LYON;MONTPELLIER;374;42
MONTPELLIER;PARIS-LYON;392;31
PARIS-LYON;NICE VILLE;206;39
NICE VILLE;PARIS-LYON;211;57
PARIS-LYON;NIMES;375;48
NIMES;PARIS-LYON;393;36
PARIS-LYON;PERPIGNAN;160;14
PERPIGNAN;PARIS-LYON;159;12
PARIS-LYON;TOULON;217;32
TOULON;PARIS-LYON;275;58
PARIS-LYON;VALENCE-ALIXAN TGV;261;26
VALENCE-ALIXAN TGV;PARIS-LYON;241;32
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;117;11
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;115;11
PARIS-LYON;BELLEGARDE (AIN );263;34
BELLEGARDE (AIN );PARIS-LYON;263;22
PARIS-LYON;AIX EN PROVENCE TGV;436;49
AIX EN PROVENCE TGV;PARIS-LYON;450;84
PARIS-LYON;ANNECY;204;16
ANNECY;PARIS-LYON;197;13
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;205;22
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;217;28
PARIS-LYON;MACON LOCHE;185;18
MACON LOCHE;PARIS-LYON;174;18
LYON PART DIEU;MARSEILLE ST CHARLES;625;114
MARSEILLE ST CHARLES;LYON PART DIEU;600;119
LYON PART DIEU;MONTPELLIER;375;61
MONTPELLIER;LYON PART DIEU;368;61
PARIS-LYON;MULHOUSE VILLE;306;27
MULHOUSE VILLE;PARIS-LYON;311;22
PARIS-LYON;GENEVE;263;
GENEVE;PARIS-LYON;253;14
PARIS-LYON;ZURICH;179;
ZURICH;PARIS-LYON;181;7
PARIS-LYON;LAUSANNE;112;
LAUSANNE;PARIS-LYON;115;19
PARIS NORD;BELGIQUE-PAYS-BAS;751;
BELGIQUE-PAYS-BAS;PARIS NORD;663;100
PARIS EST;FRANCFORT;141;
FRANCFORT;PARIS EST;142;25
PARIS EST;STUTTGART;119;
STUTTGART;PARIS EST;115;25
PARIS-LYON;ITALIE;93;
ITALIE;PARIS-LYON;89;6
