Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;318;14
ANGOULEME;PARIS MONTPARNASSE;349;53
PARIS MONTPARNASSE;BORDEAUX ST JEAN;641;31
BORDEAUX ST JEAN;PARIS MONTPARNASSE;635;58
PARIS MONTPARNASSE;BREST;183;6
BREST;PARIS MONTPARNASSE;172;6
PARIS MONTPARNASSE;LA ROCHELLE VILLE;217;16
LA ROCHELLE VILLE;PARIS MONTPARNASSE;217;14
PARIS MONTPARNASSE;LE MANS;434;35
LE MANS;PARIS MONTPARNASSE;451;69
PARIS MONTPARNASSE;NANTES;564;27
NANTES;PARIS MONTPARNASSE;565;24
PARIS MONTPARNASSE;POITIERS;447;17
POITIERS;PARIS MONTPARNASSE;492;55
PARIS MONTPARNASSE;QUIMPER;159;9
QUIMPER;PARIS MONTPARNASSE;144;11
PARIS MONTPARNASSE;RENNES;543;30
RENNES;PARIS MONTPARNASSE;558;45
PARIS MONTPARNASSE;TOULOUSE MATABIAU;132;10
TOULOUSE MATABIAU;PARIS MONTPARNASSE;94;17
PARIS MONTPARNASSE;TOURS;194;13
TOURS;PARIS MONTPARNASSE;197;12
PARIS MONTPARNASSE;ST PIERRE DES CORPS;452;20
ST PIERRE DES CORPS;PARIS MONTPARNASSE;454;58
PARIS MONTPARNASSE;ANGERS SAINT LAUD;424;20
ANGERS SAINT LAUD;PARIS MONTPARNASSE;467;23
PARIS MONTPARNASSE;VANNES;180;8
VANNES;PARIS MONTPARNASSE;170;12
PARIS MONTPARNASSE;LAVAL;234;12
LAVAL;PARIS MONTPARNASSE;234;14
PARIS MONTPARNASSE;ST MALO;54;3
ST MALO;PARIS MONTPARNASSE;99;0
LYON PART DIEU;RENNES;46;2
RENNES;LYON PART DIEU;81;6
METZ;PARIS EST;288;16
PARIS EST;METZ;304;11
PARIS EST;NANCY;281;6
NANCY;PARIS EST;288;16
PARIS EST;REIMS;241;12
REIMS;PARIS EST;227;15
PARIS EST;STRASBOURG;456;28
STRASBOURG;PARIS EST;459;66
NANTES;STRASBOURG;60;4
STRASBOURG;NANTES;60;6
PARIS NORD;ARRAS;358;40
ARRAS;PARIS NORD;327;36
PARIS NORD;DUNKERQUE;139;10
DUNKERQUE;PARIS NORD;95;4
PARIS NORD;LILLE;591;56
LILLE;PARIS NORD;565;57
LILLE;LYON PART DIEU;300;25
LYON PART DIEU;LILLE;269;40
LILLE;MARSEILLE ST CHARLES;147;20
MARSEILLE ST CHARLES;LILLE;125;16
PARIS NORD;DOUAI;198;25
DOUAI;PARIS NORD;198;19
PARIS-LYON;AVIGNON TGV;364;25
AVIGNON TGV;PARIS-LYON;367;41
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;228;12
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;207;7
PARIS-LYON;CHAMBERY CHALLES LES EAUX;209;21
CHAMBERY CHALLES LES EAUX;PARIS-LYON;198;29
PARIS-LYON;DIJON VILLE;441;19
DIJON VILLE;PARIS-LYON;441;29
PARIS-LYON;GRENOBLE;224;11
GRENOBLE;PARIS-LYON;234;17
PARIS-LYON;LYON PART DIEU;613;14
LYON PART DIEU;PARIS-LYON;617;22
PARIS-LYON;MARSEILLE ST CHARLES;498;25
MARSEILLE ST CHARLES;PARIS-LYON;501;28
PARIS-LYON;MONTPELLIER;338;24
MONTPELLIER;PARIS-LYON;358;32
PARIS-LYON;NICE VILLE;179;34
NICE VILLE;PARIS-LYON;186;35
PARIS-LYON;NIMES;336;28
NIMES;PARIS-LYON;357;44
PARIS-LYON;PERPIGNAN;153;12
PERPIGNAN;PARIS-LYON;151;16
PARIS-LYON;TOULON;199;19
TOULON;PARIS-LYON;267;34
PARIS-LYON;VALENCE-ALIXAN TGV;258;23
VALENCE-ALIXAN TGV;PARIS-LYON;233;31
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;114;15
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;115;9
PARIS-LYON;BELLEGARDE (AIN );252;46
BELLEGARDE (AIN );PARIS-LYON;250;25
PARIS-LYON;AIX EN PROVENCE TGV;;0
AIX EN PROVENCE TGV;PARIS-LYON;;0
PARIS-LYON;ANNECY;200;8
ANNECY;PARIS-LYON;193;11
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;200;80
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;208;20
PARIS-LYON;MACON LOCHE;175;7
MACON LOCHE;PARIS-LYON;169;13
LYON PART DIEU;MARSEILLE ST CHARLES;587;123
MARSEILLE ST CHARLES;LYON PART DIEU;576;71
LYON PART DIEU;MONTPELLIER;364;50
MONTPELLIER;LYON PART DIEU;360;62
PARIS-LYON;MULHOUSE VILLE;297;15
MULHOUSE VILLE;PARIS-LYON;299;19
PARIS-LYON;GENEVE;243;
GENEVE;PARIS-LYON;241;15
PARIS-LYON;ZURICH;173;
ZURICH;PARIS-LYON;173;8
PARIS-LYON;LAUSANNE;123;
LAUSANNE;PARIS-LYON;125;10
PARIS NORD;BELGIQUE-PAYS-BAS;723;
BELGIQUE-PAYS-BAS;PARIS NORD;638;80
PARIS EST;FRANCFORT;138;
FRANCFORT;PARIS EST;139;34
PARIS EST;STUTTGART;117;
STUTTGART;PARIS EST;116;20
PARIS-LYON;ITALIE;90;
ITALIE;PARIS-LYON;90;15
