UIC;Nom de la gare;adresse postale;Type;Région;Latitude;Longitude
313759;Abancourt;;Gare Ferroviaire de Voyageurs;Picardie;49,68549;1,77386
317362;Abbeville;Place de la gare 80100 ABBEVILLE;Gare Ferroviaire de Voyageurs;Picardie;50,10197;1,82423
545269;Ablon;;Gare Ferroviaire de Voyageurs;Ile de France;48,72511;2,41896
683656;Accolay;;Gare Ferroviaire de Voyageurs;Bourgogne;47,65912;3,71302
386052;Achères Grand Cormier;;Gare Ferroviaire de Voyageurs;Ile de France;48,95535;2,09327
381657;Achères Ville;;Gare Ferroviaire de Voyageurs;Ile de France;48,96934;2,07779
316745;Acheux - Franleu;;Gare Ferroviaire de Voyageurs;Picardie;50,08245;1,65704
342048;Achiet;10 rue de la gare 62121 Achiet-le-Grand;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,13234;2,78046
271460;Aéroport Charles de Gaulle 1;;Gare Ferroviaire de Voyageurs;Ile de France;49,00965;2,55980
271494;Aéroport Charles de Gaulle 2 TGV;BP 35042 Tremblay 95716 Roissy CDG cedex;Gare Ferroviaire de Voyageurs;Ile de France;49,00569;2,57063
757559;Agay;;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,43164;6,85666
781278;Agde;Rue de la digue 34300 Agde;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;43,31754;3,46575
586008;Agen;1 place Rabelais 47000 AGEN;Gare Ferroviaire de Voyageurs;Aquitaine;44,20836;0,62031
595157;Agonac;;Gare Ferroviaire de Voyageurs;Aquitaine;45,28649;0,74857
171702;Aguilcourt - Variscourt;;Gare Ferroviaire de Voyageurs;Picardie;49,40793;3,97299
741421;Aiguebelette le Lac;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,53634;5,81253
741256;Aiguebelle;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,54351;6,30686
734129;Aigueperse;;Gare Ferroviaire de Voyageurs;Auvergne;46,01484;3,19788
775858;Aigues Mortes;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;43,57112;4,19112
775122;Aigues Vives;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;43,72672;4,19333
586693;Aiguillon;;Gare Ferroviaire de Voyageurs;Aquitaine;44,29873;0,33517
185629;Aillevillers;;Gare Ferroviaire de Voyageurs;Franche-Comté;47,91356;6,33659
313221;Ailly sur Noye;Rue de la gare 80250 Ailly-sur-Noye;Gare Ferroviaire de Voyageurs;Picardie;49,75458;2,36392
313098;Ailly sur Somme;;Gare Ferroviaire de Voyageurs;Picardie;49,92832;2,20053
775833;Aimargues;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;43,67857;4,20821
741769;Aime La Plagne;128 avenue de la Gare 73210 Aime;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,55435;6,64860
713636;Aiserey;Avenue de la gare 21110 Aiserey;Gare Ferroviaire de Voyageurs;Bourgogne;47,17011;5,15834
751404;Aix en Provence;Place Gustave Desplaces 13100 Aix-en-Provence;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,52324;5,44412
319012;Aix en Provence TGV;ROUTE DEPARTEMENTALE 9 13592 AIX EN PROVENCE CEDEX 3;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,45527;5,31723
594291;Aix la Marsalouse;;Gare Ferroviaire de Voyageurs;Limousin;45,61402;2,39853
741132;Aix les Bains Le Revard;Boulevard Wilson 73100 AIX LES BAINS;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,68947;5,90893
592667;Aixe sur Vienne;;Gare Ferroviaire de Voyageurs;Limousin;45,79601;1,14686
722744;Alai;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,75174;4,77153
746115;Albens;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,78613;5,94856
313072;Albert;;Gare Ferroviaire de Voyageurs;Picardie;50,00520;2,64312
741645;Albertville;2, place de la gare 73200 Albertville;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,67340;6,38326
615005;Albi;Place Stalingrad  81000 Albi;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,92221;2,13725
615195;Albi Madeleine;Place de la Résistance 81000 Albi;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,93819;2,14080
613398;Albias;;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;44,09198;1,44489
721266;Albigny - Neuville;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,87428;4,83298
444711;Alençon;Place de la Résistance 61000 Alençon;Gare Ferroviaire de Voyageurs;Basse-Normandie;48,43387;0,09904
775288;Alès;Place Pierre Sémard  30100 Alès;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;44,12813;4,08478
615187;Alet les Bains;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;42,99722;2,25185
594234;Allassac;1 Avenue de la gare 19240 ALLASSAC;Gare Ferroviaire de Voyageurs;Limousin;45,25929;1,47299
113878;Allée de la Tour Rendez-Vous;;Gare Ferroviaire de Voyageurs;Ile de France;48,89753;2,50680
783654;Allenc;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;44,54168;3,66423
731885;Alleyras;;Gare Ferroviaire de Voyageurs;Auvergne;44,91837;3,67295
581793;Alouette France;;Gare Ferroviaire de Voyageurs;Aquitaine;44,79330;-0,65986
182238;Altkirch;;Gare Ferroviaire de Voyageurs;Alsace;47,62710;7,23959
172262;Amagne - Lucquy;;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;49,52370;4,47380
592311;Ambazac;;Gare Ferroviaire de Voyageurs;Limousin;45,95260;1,40591
743716;Ambérieu en Bugey;Place de la Gare 01500 Ambérieu;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,95395;5,34246
742031;Ambilly;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,19467;6,22535
574343;Amboise;;Gare Ferroviaire de Voyageurs;Centre;47,42145;0,98112
743146;Ambronay - Priay;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,01159;5,33816
313874;Amiens;47, place Alphonse Fiquet 80017 Amiens;Gare Ferroviaire de Voyageurs;Picardie;49,88993;2,30982
171744;Amifontaine;;Gare Ferroviaire de Voyageurs;Picardie;49,48479;3,91056
394205;Amilly Ouerray;;Gare Ferroviaire de Voyageurs;Centre;48,43813;1,38939
721035;Amplepuis;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,97145;4,32579
481192;Ancenis;Rue de la libération 44150 Ancenis;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,36947;-1,17759
172858;Anchamps;;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;49,93038;4,67163
575332;Anché - Voulon;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;46,34964;0,25021
192419;Ancy sur Moselle;;Gare Ferroviaire de Voyageurs;Lorraine;49,05727;6,06276
715102;Andelot;;Gare Ferroviaire de Voyageurs;Franche-Comté;46,85967;5,92344
142364;Andilly;;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;47,91292;5,50561
381491;Andrésy;;Gare Ferroviaire de Voyageurs;Ile de France;48,97428;2,04836
726406;Andrézieux;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,52168;4,25526
